,id,word,frequency
0,1,management,7078
1,2,financial,6931
2,3,singapore,5404
3,4,business,4942
4,5,fund,4211
5,6,audit,4210
6,7,company,4029
7,8,accounting,4024
8,9,team,3940
9,10,investment,3520
10,11,clients,3397
11,12,finance,3047
12,13,client,2887
13,14,work,2847
14,15,services,2770
15,16,hong,2767
16,17,kong,2749
17,18,corporate,2689
18,19,university,2679
19,20,experience,2659
20,21,skills,2611
21,22,new,2472
22,23,including,2458
23,24,reporting,2423
24,25,bank,2359
25,26,accounts,2320
26,27,analysis,2310
27,28,funds,2276
28,29,review,2270
29,30,group,2246
30,31,companies,2219
31,32,reports,2215
32,33,compliance,2063
33,34,office,2060
34,35,manager,1998
35,36,internal,1968
36,37,tax,1887
37,38,ensure,1886
38,39,monthly,1861
39,40,ltd,1823
40,41,system,1801
41,42,limited,1785
42,43,prepare,1783
43,44,senior,1767
44,45,education,1763
45,46,various,1715
46,47,professional,1678
47,48,private,1672
48,49,process,1667
49,50,project,1641
50,51,english,1637
51,52,equity,1624
52,53,cash,1572
53,54,school,1556
54,55,daily,1524
55,56,risk,1510
56,57,sales,1504
57,58,service,1501
58,59,preparation,1440
59,60,capital,1436
60,61,asset,1417
61,62,level,1414
62,63,data,1409
63,64,china,1384
64,65,research,1370
65,66,support,1340
66,67,assistant,1327
67,68,market,1316
68,69,portfolio,1304
69,70,report,1297
70,71,banking,1291
71,72,information,1278
72,73,asia,1275
73,74,international,1269
74,75,responsible,1259
75,76,present,1251
76,77,annual,1229
77,78,performance,1212
78,79,accountant,1207
79,80,global,1205
80,81,key,1197
81,82,microsoft,1188
82,83,administration,1173
83,84,development,1172
84,85,bachelor,1170
85,86,statements,1165
86,87,working,1150
87,88,associate,1150
88,89,provide,1135
89,90,operations,1134
90,91,excel,1133
91,92,industry,1133
92,93,chinese,1124
93,94,assist,1121
94,95,control,1117
95,96,pte,1108
96,97,valuation,1108
97,98,etc,1097
98,99,account,1094
99,100,credit,1082
